2025-03-24 09:23:08.726 GMT [7100] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
2025-03-24 11:15:24.223 GMT [29352] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:15:23.395166', 1, 1, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:15:23.395166', 1) RETURNING "id"
2025-03-24 11:16:43.474 GMT [4776] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:16:43.474 GMT [4776] DETAIL:  Failing row contains (560, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:16:42.822707, 2025-03-24 11:16:42.822707).
2025-03-24 11:16:43.474 GMT [4776] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "model_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:16:42.822707', 1, 1, DEFAULT, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:16:42.822707', 1), (true, '2025-03-24 11:16:42.822707', 1, DEFAULT, 519, 'hr_candidate_cv', true, true, DEFAULT, true, '2025-03-24 11:16:42.822707', 1) RETURNING "id"
2025-03-24 11:16:43.477 GMT [4776] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:16:43.477 GMT [4776] DETAIL:  Failing row contains (561, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:16:42.822707, 2025-03-24 11:16:42.822707).
2025-03-24 11:16:43.477 GMT [4776] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:16:42.822707', 1, 1, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:16:42.822707', 1) RETURNING "id"
2025-03-24 11:16:58.063 GMT [29408] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:16:58.063 GMT [29408] DETAIL:  Failing row contains (563, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:16:57.415247, 2025-03-24 11:16:57.415247).
2025-03-24 11:16:58.063 GMT [29408] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "model_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:16:57.415247', 1, 1, DEFAULT, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:16:57.415247', 1), (true, '2025-03-24 11:16:57.415247', 1, DEFAULT, 519, 'hr_candidate_cv', true, true, DEFAULT, true, '2025-03-24 11:16:57.415247', 1) RETURNING "id"
2025-03-24 11:16:58.066 GMT [29408] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:16:58.066 GMT [29408] DETAIL:  Failing row contains (564, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:16:57.415247, 2025-03-24 11:16:57.415247).
2025-03-24 11:16:58.066 GMT [29408] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:16:57.415247', 1, 1, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:16:57.415247', 1) RETURNING "id"
2025-03-24 11:17:14.313 GMT [10696] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:17:14.313 GMT [10696] DETAIL:  Failing row contains (566, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:17:13.669758, 2025-03-24 11:17:13.669758).
2025-03-24 11:17:14.313 GMT [10696] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "model_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:17:13.669758', 1, 1, DEFAULT, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:17:13.669758', 1), (true, '2025-03-24 11:17:13.669758', 1, DEFAULT, 519, 'hr_candidate_cv', true, true, DEFAULT, true, '2025-03-24 11:17:13.669758', 1) RETURNING "id"
2025-03-24 11:17:14.316 GMT [10696] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:17:14.316 GMT [10696] DETAIL:  Failing row contains (567, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:17:13.669758, 2025-03-24 11:17:13.669758).
2025-03-24 11:17:14.316 GMT [10696] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:17:13.669758', 1, 1, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:17:13.669758', 1) RETURNING "id"
2025-03-24 11:17:47.589 GMT [25080] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:17:47.589 GMT [25080] DETAIL:  Failing row contains (569, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:17:46.963739, 2025-03-24 11:17:46.963739).
2025-03-24 11:17:47.589 GMT [25080] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "model_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:17:46.963739', 1, 1, DEFAULT, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:17:46.963739', 1), (true, '2025-03-24 11:17:46.963739', 1, DEFAULT, 519, 'hr_candidate_cv', true, true, DEFAULT, true, '2025-03-24 11:17:46.963739', 1) RETURNING "id"
2025-03-24 11:17:47.592 GMT [25080] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 11:17:47.592 GMT [25080] DETAIL:  Failing row contains (570, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 11:17:46.963739, 2025-03-24 11:17:46.963739).
2025-03-24 11:17:47.592 GMT [25080] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 11:17:46.963739', 1, 1, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 11:17:46.963739', 1) RETURNING "id"
2025-03-24 11:19:43.497 GMT [23612] ERROR:  canceling statement due to lock timeout
2025-03-24 11:19:43.497 GMT [23612] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:20:39.614 GMT [16768] ERROR:  canceling statement due to lock timeout
2025-03-24 11:20:39.614 GMT [16768] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:21:12.434 GMT [16768] ERROR:  canceling statement due to lock timeout
2025-03-24 11:21:12.434 GMT [16768] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:21:27.780 GMT [16768] ERROR:  canceling statement due to lock timeout
2025-03-24 11:21:27.780 GMT [16768] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:22:45.877 GMT [16768] ERROR:  canceling statement due to lock timeout
2025-03-24 11:22:45.877 GMT [16768] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:25:11.792 GMT [19248] ERROR:  canceling statement due to lock timeout
2025-03-24 11:25:11.792 GMT [19248] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:35:57.883 GMT [24492] ERROR:  canceling statement due to lock timeout
2025-03-24 11:35:57.883 GMT [24492] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:37:30.211 GMT [27824] ERROR:  canceling statement due to lock timeout
2025-03-24 11:37:30.211 GMT [27824] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:49:14.878 GMT [28392] ERROR:  canceling statement due to lock timeout
2025-03-24 11:49:14.878 GMT [28392] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:50:41.762 GMT [27708] ERROR:  canceling statement due to lock timeout
2025-03-24 11:50:41.762 GMT [27708] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:56:37.016 GMT [24208] ERROR:  canceling statement due to lock timeout
2025-03-24 11:56:37.016 GMT [24208] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:57:57.891 GMT [28368] ERROR:  canceling statement due to lock timeout
2025-03-24 11:57:57.891 GMT [28368] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 11:58:28.997 GMT [492] ERROR:  canceling statement due to lock timeout
2025-03-24 11:58:28.997 GMT [492] STATEMENT:  ALTER TABLE "hr_candidate_cv" ADD COLUMN "matching_score" double precision 
2025-03-24 12:01:50.289 GMT [24272] ERROR:  canceling statement due to lock timeout
2025-03-24 12:01:50.289 GMT [24272] STATEMENT:  ALTER TABLE "hr_applicant" DROP COLUMN "cv_id" CASCADE
2025-03-24 12:02:39.099 GMT [25736] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 12:02:39.099 GMT [25736] DETAIL:  Failing row contains (572, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 12:02:38.44242, 2025-03-24 12:02:38.44242).
2025-03-24 12:02:39.099 GMT [25736] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "model_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 12:02:38.442420', 1, 1, DEFAULT, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 12:02:38.442420', 1), (true, '2025-03-24 12:02:38.442420', 1, 1, 519, 'hr_candidate_cv', true, true, true, true, '2025-03-24 12:02:38.442420', 1) RETURNING "id"
2025-03-24 12:02:39.102 GMT [25736] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 12:02:39.102 GMT [25736] DETAIL:  Failing row contains (573, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 12:02:38.44242, 2025-03-24 12:02:38.44242).
2025-03-24 12:02:39.102 GMT [25736] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 12:02:38.442420', 1, 1, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 12:02:38.442420', 1) RETURNING "id"
2025-03-24 12:04:02.376 GMT [27824] ERROR:  canceling statement due to lock timeout
2025-03-24 12:04:02.376 GMT [27824] STATEMENT:  ALTER TABLE "hr_candidate_cv" ADD COLUMN "extracted_text" text 
2025-03-24 12:04:48.769 GMT [13620] ERROR:  canceling statement due to lock timeout
2025-03-24 12:04:48.769 GMT [13620] STATEMENT:  ALTER TABLE "hr_candidate_cv" ADD COLUMN "extracted_text" text 
2025-03-24 12:05:04.923 GMT [10496] ERROR:  null value in column "model_id" violates not-null constraint
2025-03-24 12:05:04.923 GMT [10496] DETAIL:  Failing row contains (575, null, 1, 1, 1, onboarding_offboarding.onboarding_offboarding, t, t, t, t, t, 2025-03-24 12:05:04.28614, 2025-03-24 12:05:04.28614).
2025-03-24 12:05:04.923 GMT [10496] STATEMENT:  INSERT INTO "ir_model_access" ("active", "create_date", "create_uid", "group_id", "model_id", "name", "perm_create", "perm_read", "perm_unlink", "perm_write", "write_date", "write_uid") VALUES (true, '2025-03-24 12:05:04.286140', 1, 1, DEFAULT, 'onboarding_offboarding.onboarding_offboarding', true, true, true, true, '2025-03-24 12:05:04.286140', 1), (true, '2025-03-24 12:05:04.286140', 1, 1, 519, 'hr_candidate_cv', true, true, true, true, '2025-03-24 12:05:04.286140', 1) RETURNING "id"
2025-03-24 12:05:04.926 GMT [10496] ERROR:  null value in column "model_id" violates not-null constraint
